Date,Open,High,Low,Close,Adj Close,Volume
2019-02-19,56.570000,57.529999,56.500000,57.470001,57.470001,42000
2019-02-20,58.189999,59.160000,58.130001,58.700001,58.700001,71100
2019-02-21,59.040001,59.130001,58.709999,59.000000,59.000000,78000
2019-02-22,59.270000,59.610001,59.090000,59.250000,59.250000,54400
2019-02-25,60.880001,60.970001,60.470001,60.700001,60.700001,107600
2019-02-26,60.299999,60.820000,60.240002,60.610001,60.610001,36500
2019-02-27,60.279999,60.450001,59.799999,60.160000,60.160000,55900
2019-02-28,60.000000,60.220001,59.810001,60.049999,60.049999,91100
2019-03-01,61.169998,61.189999,60.500000,60.900002,60.900002,39900
2019-03-04,60.939999,61.000000,60.150002,60.459999,60.459999,40800
2019-03-05,60.080002,60.080002,59.400002,59.669998,59.669998,25100
2019-03-06,59.320000,59.320000,58.880001,58.970001,58.970001,22800
2019-03-07,57.070000,57.070000,56.110001,56.439999,56.439999,42900
2019-03-08,55.830002,56.509998,55.799999,56.500000,56.500000,34900
2019-03-11,56.939999,57.450001,56.759998,57.200001,57.200001,25000
2019-03-12,57.560001,57.580002,56.860001,57.000000,57.000000,35400
2019-03-13,57.330002,57.840000,57.330002,57.680000,57.680000,38200
2019-03-14,57.889999,57.900002,57.500000,57.689999,57.689999,21200
2019-03-15,58.400002,58.610001,58.040001,58.480000,58.480000,53300
2019-03-18,57.939999,58.180000,57.860001,58.180000,58.180000,44900
2019-03-19,60.240002,60.310001,59.130001,59.200001,59.200001,106800
2019-03-20,58.700001,59.720001,58.540001,59.340000,59.340000,39600
2019-03-21,58.439999,58.900002,58.430000,58.849998,58.849998,32200
2019-03-22,57.770000,57.820000,56.669998,57.169998,57.169998,58300
2019-03-25,57.259998,57.599998,57.060001,57.490002,57.490002,21500
2019-03-26,56.980000,57.369999,56.750000,57.110001,57.110001,34900
2019-03-27,58.040001,58.080002,57.279999,57.950001,57.950001,46500
2019-03-28,57.650002,57.759998,57.230000,57.650002,57.650002,40300
2019-03-29,58.299999,58.720001,58.099998,58.570000,58.570000,41900
2019-04-01,60.560001,61.160000,60.389999,61.040001,61.040001,97600
2019-04-02,61.669998,61.740002,61.400002,61.700001,61.700001,49900
2019-04-03,62.330002,62.650002,62.230000,62.389999,62.389999,60600
2019-04-04,62.889999,63.299999,62.750000,63.009998,63.009998,48300
2019-04-05,62.720001,63.009998,61.509998,61.759998,61.759998,44300
2019-04-08,63.049999,63.180000,62.779999,62.950001,62.950001,35300
2019-04-09,62.480000,62.529999,62.040001,62.040001,62.040001,38900
2019-04-10,61.810001,62.240002,61.750000,62.110001,62.110001,27600
2019-04-11,62.450001,62.680000,62.080002,62.299999,62.299999,25600
2019-04-12,64.169998,64.370003,63.900002,64.099998,64.099998,37900
